prcp,snow,tavg,tmax,tmin,awnd,date,month,year,day
0.0,0.0,,39.0,26.0,6.7,2010-11-18,11,2010,18
0.0,0.0,,51.0,25.0,10.7,2010-11-19,11,2010,19
0.0,0.0,,43.0,30.0,9.2,2010-11-20,11,2010,20
0.0,0.0,,60.0,41.0,13.6,2010-11-21,11,2010,21
1.37,0.0,,67.0,39.0,14.5,2010-11-22,11,2010,22
0.0,0.0,,39.0,26.0,10.5,2010-11-23,11,2010,23
0.13,0.0,,40.0,25.0,15.2,2010-11-24,11,2010,24
0.01,0.0,,39.0,21.0,9.8,2010-11-25,11,2010,25
0.0,0.0,,32.0,18.0,15.0,2010-11-26,11,2010,26
0.0,0.0,,34.0,21.0,7.6,2010-11-27,11,2010,27
0.0,0.0,,46.0,22.0,9.8,2010-11-28,11,2010,28
0.51,0.0,,49.0,33.0,12.8,2010-11-29,11,2010,29
0.02,0.0,,49.0,25.0,15.4,2010-11-30,11,2010,30
0.0,0.1,,26.0,22.0,14.5,2010-12-01,12,2010,1
0.0,0.0,,33.0,22.0,8.9,2010-12-02,12,2010,2
0.0,0.0,,31.0,18.0,3.6,2010-12-03,12,2010,3
0.49,5.1,,32.0,23.0,7.6,2010-12-04,12,2010,4
0.0,0.0,,26.0,12.0,12.3,2010-12-05,12,2010,5
0.0,0.0,,20.0,8.0,12.5,2010-12-06,12,2010,6
0.0,0.0,,20.0,11.0,10.3,2010-12-07,12,2010,7
0.0,0.0,,25.0,7.0,7.2,2010-12-08,12,2010,8
0.03,0.8,,29.0,5.0,10.3,2010-12-09,12,2010,9
0.0,0.0,,37.0,23.0,7.8,2010-12-10,12,2010,10
0.45,0.3,,36.0,24.0,10.5,2010-12-11,12,2010,11
0.04,0.6,,31.0,12.0,22.6,2010-12-12,12,2010,12
0.0,0.0,,16.0,7.0,16.6,2010-12-13,12,2010,13
0.0,0.0,,21.0,6.0,7.4,2010-12-14,12,2010,14
0.0,0.0,,25.0,2.0,2.9,2010-12-15,12,2010,15
0.01,0.7,,27.0,20.0,5.6,2010-12-16,12,2010,16
0.0,0.0,,22.0,13.0,9.4,2010-12-17,12,2010,17
0.0,0.0,,19.0,10.0,10.1,2010-12-18,12,2010,18
0.0,0.0,,21.0,8.0,5.8,2010-12-19,12,2010,19
0.2,3.0,,27.0,6.0,6.7,2010-12-20,12,2010,20
0.02,0.0,,31.0,26.0,7.6,2010-12-21,12,2010,21
0.0,0.0,,35.0,18.0,11.4,2010-12-22,12,2010,22
0.0,0.0,,29.0,19.0,5.1,2010-12-23,12,2010,23
0.2,1.9,,32.0,27.0,5.8,2010-12-24,12,2010,24
0.06,0.9,,31.0,20.0,11.0,2010-12-25,12,2010,25
0.17,2.8,,33.0,19.0,12.8,2010-12-26,12,2010,26
0.0,0.0,,22.0,11.0,8.7,2010-12-27,12,2010,27
0.0,0.0,,27.0,12.0,8.9,2010-12-28,12,2010,28
0.01,0.0,,36.0,9.0,9.8,2010-12-29,12,2010,29
0.0,0.0,,46.0,34.0,16.8,2010-12-30,12,2010,30
0.67,0.0,,53.0,41.0,14.1,2010-12-31,12,2010,31
0.0,0.0,,41.0,14.0,18.6,2011-01-01,1,2011,1
0.0,0.0,,24.0,12.0,11.0,2011-01-02,1,2011,2
0.0,0.0,,36.0,22.0,8.1,2011-01-03,1,2011,3
0.0,0.0,,30.0,13.0,10.1,2011-01-04,1,2011,4
0.0,0.0,,31.0,8.0,6.0,2011-01-05,1,2011,5
0.0,0.0,,28.0,18.0,11.4,2011-01-06,1,2011,6
0.02,0.6,,22.0,12.0,11.0,2011-01-07,1,2011,7
0.0,0.0,,24.0,9.0,14.1,2011-01-08,1,2011,8
0.0,0.0,,31.0,9.0,3.1,2011-01-09,1,2011,9
0.0,0.0,,33.0,18.0,7.8,2011-01-10,1,2011,10
0.31,5.9,,27.0,22.0,10.7,2011-01-11,1,2011,11
0.0,0.0,,26.0,20.0,12.5,2011-01-12,1,2011,12
0.0,0.0,,24.0,15.0,6.7,2011-01-13,1,2011,13
0.01,0.1,,24.0,16.0,5.8,2011-01-14,1,2011,14
0.0,0.0,,24.0,13.0,11.6,2011-01-15,1,2011,15
0.0,0.0,,22.0,6.0,4.7,2011-01-16,1,2011,16
0.31,0.9,,32.0,18.0,12.1,2011-01-17,1,2011,17
0.1,0.3,,32.0,19.0,11.0,2011-01-18,1,2011,18
0.0,0.0,,23.0,15.0,8.5,2011-01-19,1,2011,19
0.0,0.0,,19.0,5.0,10.7,2011-01-20,1,2011,20
0.0,0.0,,8.0,-4.0,8.1,2011-01-21,1,2011,21
0.01,0.7,,17.0,5.0,10.5,2011-01-22,1,2011,22
0.01,0.3,,20.0,4.0,9.2,2011-01-23,1,2011,23
0.03,0.5,,27.0,15.0,9.6,2011-01-24,1,2011,24
0.0,0.0,,29.0,21.0,4.9,2011-01-25,1,2011,25
0.0,0.2,,28.0,18.0,7.2,2011-01-26,1,2011,26
0.03,0.6,,25.0,17.0,9.8,2011-01-27,1,2011,27
0.0,0.0,,31.0,19.0,8.5,2011-01-28,1,2011,28
0.0,0.0,,33.0,26.0,6.9,2011-01-29,1,2011,29
0.0,0.0,,30.0,26.0,10.5,2011-01-30,1,2011,30
